,id,tweet,label,category,loc
0,'295788305214222337',Flood worsens in eastern Australia http://t.co/akxcDdoR,on-topic,floods,"{'word': 'Australia', 'spans': [{'start': 25, 'end': 34}], 'country_predicted': 'AUS', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '-25', 'lon': '135', 'country_code3': 'AUS', 'geonameid': '2077456', 'place_name': 'Commonwealth of Australia', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
1,'348493975805632512',".@nenshi says Elbow River now flowing at 550 c.m/sec, down from 700. Is normally 170. #yycflood",on-topic,floods,"{'word': 'Elbow', 'spans': [{'start': 14, 'end': 19}], 'country_predicted': 'CAN', 'country_conf': 0.9048774, 'geo': {'admin1': 'Saskatchewan', 'lat': '51.76668', 'lon': '-102.01763', 'country_code3': 'CAN', 'geonameid': '5887804', 'place_name': 'Assiniboine Elbow', 'feature_class': 'H', 'feature_code': 'STM'}}"
2,'382827789939769344',"#earthquake M 5.0, South Sandwich Islands Region http://t.co/eRSFQVBeXu #TomohonKota.Com",on-topic,earthquake,"{'word': 'South Sandwich Islands', 'spans': [{'start': 19, 'end': 41}], 'country_predicted': 'SGS', 'country_conf': 0.9048774, 'geo': {'admin1': 'NA', 'lat': '-56', 'lon': '-33', 'country_code3': 'SGS', 'geonameid': '3474415', 'place_name': 'South Georgia and the South Sandwich Islands', 'feature_class': 'A', 'feature_code': 'PCLD'}}"
3,'324946131798855680',Yesterday explosion in #west #Texas recorded by the #USG... http://t.co/sQhlXCbZQs #TX #Waco #WestTX #WacoTX #Westexplosion via @freddypibu,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 30, 'end': 35}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
4,'382822749301141504',"#Pakistan confirms at least 357 dead and more than 100,000 people homeless after quake | Full Story: http://t.co/mi9ryMT19w""",on-topic,earthquake,"{'word': 'Pakistan', 'spans': [{'start': 1, 'end': 9}], 'country_predicted': 'PAK', 'country_conf': 0.68758196, 'geo': {'admin1': 'NA', 'lat': '30', 'lon': '70', 'country_code3': 'PAK', 'geonameid': '1168579', 'place_name': 'Islamic Republic of Pakistan', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
6,'296566191558905856',"DTN Taiwan: Taiwanese man on working holiday in Australia dies in flood: Taipei, Jan. 30 (CNA) A Taiwanese man o... http://t.co/bpXzC77n",on-topic,floods,"{'word': 'Australia', 'spans': [{'start': 48, 'end': 57}], 'country_predicted': 'AUS', 'country_conf': 0.94528687, 'geo': {'admin1': 'NA', 'lat': '-25', 'lon': '135', 'country_code3': 'AUS', 'geonameid': '2077456', 'place_name': 'Commonwealth of Australia', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
7,'451190374430949376',RT @cecemcghee: Massive #earthquake in #Chile spurs #tsunami. http://t.co/4WOfbHyCa7 #cecemcghee,on-topic,earthquake,"{'word': 'Chile', 'spans': [{'start': 40, 'end': 45}], 'country_predicted': 'CHL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '-30', 'lon': '-71', 'country_code3': 'CHL', 'geonameid': '3895114', 'place_name': 'Republic of Chile', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
8,'348610409462366209',@SarahSimMusic i wish i could see you live! I'm stuck drowning in Calgary!  #yycflood #abflood http://t.co/07AtKmOLV9,on-topic,floods,"{'word': 'Calgary', 'spans': [{'start': 66, 'end': 73}], 'country_predicted': 'CAN', 'country_conf': 0.87992215, 'geo': {'admin1': 'Alberta', 'lat': '51.05011', 'lon': '-114.08529', 'country_code3': 'CAN', 'geonameid': '5913490', 'place_name': 'Calgary', 'feature_class': 'P', 'feature_code': 'PPL'}}"
9,'327474588277690368',"Watch CAUGHT ON CAMERA: Fertilizer Plant Explosion Near Waco, Texas on YouTube http://t.co/5VUnf0hmBc",on-topic,explosion,"{'word': 'Waco', 'spans': [{'start': 56, 'end': 60}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.54933', 'lon': '-97.14667', 'country_code3': 'USA', 'geonameid': '4739526', 'place_name': 'Waco', 'feature_class': 'P', 'feature_code': 'PPLA2'}}"
10,'591903218159980544',"RT @Su4ita: Amidst all the chaos, please keep sharing stories of people who have been FOUND in Nepal. Hausla badhega, aur kuch nahi toh.",on-topic,earthquake,"{'word': 'Nepal', 'spans': [{'start': 95, 'end': 100}], 'country_predicted': 'NPL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '28', 'lon': '84', 'country_code3': 'NPL', 'geonameid': '1282988', 'place_name': 'Federal Democratic Republic of Nepal', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
